Mode  7:  159.016 : 0.5 E2'
Mode 255: 1600.261 : 0.5 E2'
Mode 256: 1600.261 : 0.5 E2'
Mode 257: 1609.809 : A2''
Mode 258: 1611.106 : 0.5 E1'
Mode 259: 1611.106 : 0.5 E1'
Mode 260: 1621.348 : A1''
Mode 261: 1621.548 : A2'
Mode 262: 1622.370 : 0.5 E2'
Mode 263: 1622.370 : 0.5 E2'
Mode 264: 1622.489 : 0.5 E2''
Mode 265: 1622.489 : 0.5 E2''
Mode 266: 1625.477 : 0.5 E1'
Mode 267: 1625.477 : 0.5 E1'
Mode 268: 1626.580 : A1'
Mode 269: 1627.948 : 0.5 E1''
Mode 270: 1627.948 : 0.5 E1''
Total symmetry:  15 A1' + 12 A1'' + 12 A2' + 13 A2'' + 27 E1' + 25 E1'' + 28 E2' + 26 E2''
