Mode  7:  160.628 : 0.5 E2'
Mode 261: 1603.497 : 0.5 E2'
Mode 262: 1603.497 : 0.5 E2'
Mode 263: 1603.584 : 0.5 E2''
Mode 264: 1603.584 : 0.5 E2''
Mode 265: 1604.721 : A2'
Mode 266: 1608.852 : 0.5 E1'
Mode 267: 1608.852 : 0.5 E1'
Mode 268: 1609.907 : A1'
Mode 269: 1610.003 : 0.5 E1''
Mode 270: 1610.003 : 0.5 E1''
Total symmetry:  15 A1' + 12 A1'' + 12 A2' + 13 A2'' + 27 E1' + 25 E1'' + 28 E2' + 26 E2''
